		b	p	m	f	d	t	n	l	g	k	h	z	c	s	zh	ch	sh	r	j	q	x
	a	ba	pa	ma	fa	da	ta	na	la	ga	ka	ha	za	ca	sa	zha	cha	sha					a
	o	bo	po	mo	fo				lo														o
	e			me		de	te	ne	le	ge	ke	he	ze	ce	se	zhe	che	she	re				e
	ai	bai	pai	mai		dai	tai	nai	lai	gai	kai	hai	zai	cai	sai	zhai	chai	shai					ai
	ei	bei	pei	mei	fei	dei	tei	nei	lei	gei	kei	hei	zei			zhei		shei					ei
	ao	bao	pao	mao		dao	tao	nao	lao	gao	kao	hao	zao	cao	sao	zhao	chao	shao	rao				ao
	ou		pou	mou	fou	dou	tou	nou	lou	gou	kou	hou	zou	cou	sou	zhou	chou	shou	rou				ou
	an	ban	pan	man	fan	dan	tan	nan	lan	gan	kan	han	zan	can	san	zhan	chan	shan	ran				an
	ang	bang	pang	mang	fang	dang	tang	nang	lang	gang	kang	hang	zang	cang	sang	zhang	chang	shang	rang				ang
	en	ben	pen	men	fen	den		nen		gen	ken	hen	zen	cen	sen	zhen	chen	shen	ren				en
	eng	beng	peng	meng	feng	deng	teng	neng	leng	geng	keng	heng	zeng	ceng	seng	zheng	cheng	sheng	reng				eng
	ong					dong	tong	nong	long	gong	kong	hong	zong	cong	song	zhong	chong		rong
u		bu	pu	mu	fu	du	tu	nu	lu	gu	ku	hu	zu	cu	su	zhu	chu	shu	ru				wu
u	a									gua	kua	hua				zhua	chua	shua	rua				wa
u	o					duo	tuo	nuo	luo	guo	kuo	huo	zuo	cuo	suo	zhuo	chuo	shuo	ruo				wo
u	ai									guai	kuai	huai				zhuai	chuai	shuai					wai
u	ei					dui	tui			gui	kui	hui	zui	cui	sui	zhui	chui	shui	rui				wei
u	an					duan	tuan	nuan	luan	guan	kuan	huan	zuan	cuan	suan	zhuan	chuan	shuan	ruan				wan
u	ang									guang	kuang	huang				zhuang	chuang	shuang					wang
u	en					dun	tun	nun	lun	gun	kun	hun	zun	cun	sun	zhun	chun	shun	run				wen
u	eng																						weng
i		bi	pi	mi		di	ti	ni	li											ji	qi	xi	yi
i	a		pia			dia			lia											jia	qia	xia	ya
i	e	bie	pie	mie		die	tie	nie	lie											jie	qie	xie	ye
i	ao	biao	piao	miao	fiao	diao	tiao	niao	liao											jiao	qiao	xiao	yao
i	ou			miu		diu		niu	liu											jiu	qiu	xiu	you
i	an	bian	pian	mian		dian	tian	nian	lian											jian	qian	xian	yan
i	ang	biang						niang	liang											jiang	qiang	xiang	yang
i	en	bin	pin	min				nin	lin											jin	qin	xin	yin
i	eng	bing	ping	ming		ding	ting	ning	ling											jing	qing	xing	ying
i	ong																			jiong	qiong	xiong	yong
v								nv	lv											ju	qu	xu	yu
v	e							nve	lve											jue	que	xue	yue
v	an																			juan	quan	xuan	yuan
v	en																			jun	qun	xun	yun
													zi	ci	si	zhi	chi	shi	ri
